GHCN_DIN;DATE;PRCP;SNOW;TMAX;TMIN;NAME;COORD;ELEVATION;COUNTRY_CODE
USW00094290;2015-06-24;0.0;0.0;26.1;16.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-16;0.0;0.0;25.6;15.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-28;0.0;0.0;27.2;13.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-03;0.0;0.0;27.8;16.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-14;229.0;0.0;18.9;15.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-30;48.0;0.0;21.1;13.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-09-07;0.0;0.0;22.2;12.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-18;56.0;0.0;15.0;13.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-28;36.0;0.0;13.9;10.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-11-01;94.0;0.0;12.8;9.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-11-04;0.0;0.0;11.1;3.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-11-08;198.0;0.0;11.7;7.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-11-09;130.0;0.0;9.4;4.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-11-13;137.0;0.0;13.9;9.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-11-20;0.0;0.0;9.4;1.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-12-08;384.0;0.0;14.4;9.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-12-14;5.0;0.0;9.4;1.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-02;5.0;0.0;5.6;0.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-09;0.0;0.0;7.8;2.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-13;0.0;0.0;10.6;2.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-14;0.0;0.0;7.2;0.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-17;206.0;0.0;12.2;4.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-18;130.0;0.0;13.9;7.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-24;0.0;0.0;15.0;11.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-11;0.0;0.0;11.7;6.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-01;0.0;0.0;12.8;0.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-11;25.0;0.0;14.4;7.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-22;15.0;0.0;11.7;5.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-05;0.0;0.0;16.7;2.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-10;81.0;0.0;14.4;7.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-18;0.0;0.0;17.2;6.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-24;23.0;0.0;13.3;6.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-29;0.0;0.0;27.2;12.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-02;0.0;0.0;18.3;13.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-03;0.0;0.0;19.4;12.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-10;0.0;0.0;26.7;11.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-17;0.0;0.0;25.0;11.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-19;10.0;0.0;22.2;13.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-22;0.0;0.0;24.4;12.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-01;0.0;0.0;31.7;16.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-03;0.0;0.0;32.2;18.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-05;0.0;0.0;31.7;16.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-07;0.0;0.0;26.7;14.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-18;0.0;0.0;32.2;16.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
